exon	hg19_start	hg19_end	hg38_start	hg38_end	Meta_start	Meta_end	PSI	band	domains	length	symmetry_phase	Meta	N2BA	N2B	N2A	Nvx1	Nvx2	Nvx3
248	179485720	179485442	178620993	178620715	45617	45895	100	I_band	Ig_like	279	S_1	247	197	75	196	76	76	NA
249	179485352	179484944	178620625	178620217	45896	46304	100	I_band	Ig_like	409	A_2	248	198	76	197	77	77	NA
250	179484839	179484715	178620112	178619988	46305	46429	100	I_band	Ig_like	125	A_1	249	199	77	198	78	78	NA
251	179484614	179484348	178619887	178619621	46430	46696	100	I_band		267	S_1	250	200	78	199	79	79	NA
252	179483580	179483311	178618853	178618584	46697	46966	100	I_band	Ig_like	270	S_1	251	201	79	200	80	80	NA
253	179483218	179482916	178618491	178618189	46967	47269	100	A_band	fibronectin_III	303	S_1	252	202	80	201	81	81	NA
254	179482808	179482506	178618081	178617779	47270	47572	100	A_band	fibronectin_III	303	S_1	253	203	81	202	82	82	NA
255	179482239	179482052	178617512	178617325	47573	47760	100	A_band	fibronectin_III	188	A_0	254	204	82	203	83	83	NA
256	179481961	179481847	178617234	178617120	47761	47875	100	A_band	fibronectin_III	115	A_1	255	205	83	204	84	84	NA
257	179481740	179481456	178617013	178616729	47876	48160	100	A_band		285	S_1	256	206	84	205	85	85	NA
258	179481357	179481206	178616630	178616479	48161	48312	100	A_band	fibronectin_III	152	A_0	257	207	85	206	86	86	NA
259	179480515	179480368	178615788	178615641	48313	48460	100	A_band	fibronectin_III	148	A_1	258	208	86	207	87	87	NA
260	179480211	179480034	178615484	178615307	48461	48638	100	A_band	fibronectin_III	178	A_2	259	209	87	208	88	88	NA
261	179479695	179479574	178614968	178614847	48639	48760	100	A_band	fibronectin_III	122	A_1	260	210	88	209	89	89	NA
262	179479480	179479193	178614753	178614466	48761	49048	100	A_band	Ig_like	288	S_1	261	211	89	210	90	90	NA
263	179479075	179478779	178614348	178614052	49049	49345	100	A_band	fibronectin_III	297	S_1	262	212	90	211	91	91	NA
264	179478664	179478478	178613937	178613751	49346	49532	100	A_band	fibronectin_III	187	A_2	263	213	91	212	92	92	NA
265	179478003	179477888	178613276	178613161	49533	49648	100	A_band	fibronectin_III	116	A_1	264	214	92	213	93	93	NA
266	179477799	179477500	178613072	178612773	49649	49948	100	A_band	fibronectin_III	300	S_1	265	215	93	214	94	94	NA
267	179477303	179477004	178612576	178612277	49949	50248	100	A_band	fibronectin_III	300	S_1	266	216	94	215	95	95	NA
268	179476889	179476784	178612162	178612057	50249	50354	100	A_band	fibronectin_III	106	A_2	267	217	95	216	96	96	NA
269	179476681	179476485	178611954	178611758	50355	50551	100	A_band	fibronectin_III	197	A_1	268	218	96	217	97	97	NA
270	179476404	179476099	178611677	178611372	50552	50857	100	A_band	fibronectin_III	306	S_1	269	219	97	218	98	98	NA
271	179475998	179475720	178611271	178610993	50858	51136	100	A_band	Ig_like	279	S_1	270	220	98	219	99	99	NA
272	179475116	179474817	178610389	178610090	51137	51436	100	A_band	fibronectin_III	300	S_1	271	221	99	220	100	100	NA
273	179474713	179474411	178609986	178609684	51437	51739	100	A_band	fibronectin_III	303	S_1	272	222	100	221	101	101	NA
274	179474297	179473935	178609570	178609208	51740	52102	100	A_band	Ig_like	363	S_1	273	223	101	222	102	102	NA
275	179473635	179473333	178608908	178608606	52103	52405	100	A_band	fibronectin_III	303	S_1	274	224	102	223	103	103	NA
276	179473204	179472905	178608477	178608178	52406	52705	100	A_band	fibronectin_III	300	S_1	275	225	103	224	104	104	NA
277	179472808	179472512	178608081	178607785	52706	53002	100	A_band	fibronectin_III	297	S_1	276	226	104	225	105	105	NA
278	179472412	179472128	178607685	178607401	53003	53287	100	A_band	Ig_like	285	S_1	277	227	105	226	106	106	NA
279	179472041	179471748	178607314	178607021	53288	53581	100	A_band	fibronectin_III	294	S_1	278	228	106	227	107	107	NA
280	179470440	179470141	178605713	178605414	53582	53881	100	A_band	fibronectin_III	300	S_1	279	229	107	228	108	108	NA
281	179470022	179469714	178605295	178604987	53882	54190	100	A_band	Ig_like	309	S_1	280	230	108	229	109	109	NA
282	179469625	179469435	178604898	178604708	54191	54381	100	A_band	fibronectin_III	191	A_0	281	231	109	230	110	110	NA
283	179469032	179468603	178604305	178603876	54382	54811	100	A_band	fibronectin_III	430	A_1	282	232	110	231	111	111	NA
284	179467317	179467009	178602590	178602282	54812	55120	100	A_band	fibronectin_III	309	S_1	283	233	111	232	112	112	NA
285	179466877	179466729	178602150	178602002	55121	55269	100	A_band	Ig_like	149	A_0	284	234	112	233	113	113	NA
286	179466641	179466609	178601914	178601882	55270	55302	100	A_band	Ig_like	33	S_0	285	235	113	234	114	114	NA
287	179466514	179466385	178601787	178601658	55303	55432	100	A_band	Ig_like	130	A_1	286	236	114	235	115	115	NA
288	179466291	179465992	178601564	178601265	55433	55732	100	A_band	fibronectin_III	300	S_1	287	237	115	236	116	116	NA
289	179465898	179465581	178601171	178600854	55733	56050	100	A_band	fibronectin_III	318	S_1	288	238	116	237	117	117	NA
290	179464577	179464281	178599850	178599554	56051	56347	100	A_band	Ig_like	297	S_1	289	239	117	238	118	118	NA
291	179464172	179463873	178599445	178599146	56348	56647	100	A_band	fibronectin_III	300	S_1	290	240	118	239	119	119	NA
292	179463789	179463475	178599062	178598748	56648	56962	100	A_band	fibronectin_III	315	S_1	291	241	119	240	120	120	NA
293	179463381	179463233	178598654	178598506	56963	57111	100	A_band	fibronectin_III	149	A_0	292	242	120	241	121	121	NA
294	179462785	179462635	178598058	178597908	57112	57262	100	A_band	fibronectin_III	151	A_1	293	243	121	242	122	122	NA
295	179462546	179462265	178597819	178597538	57263	57544	100	A_band	Ig_like	282	S_1	294	244	122	243	123	123	NA
296	179460536	179460234	178595809	178595507	57545	57847	100	A_band	fibronectin_III	303	S_1	295	245	123	244	124	124	NA
297	179459373	179459071	178594646	178594344	57848	58150	100	A_band	fibronectin_III	303	S_1	296	246	124	245	125	125	NA
298	179458969	179458688	178594242	178593961	58151	58432	100	A_band	fibronectin_III	282	S_1	297	247	125	246	126	126	NA
299	179458594	179458295	178593867	178593568	58433	58732	100	A_band	Ig_like	300	S_1	298	248	126	247	127	127	NA
300	179458202	179457900	178593475	178593173	58733	59035	100	A_band	fibronectin_III	303	S_1	299	249	127	248	128	128	NA
301	179457810	179457502	178593083	178592775	59036	59344	100	A_band	fibronectin_III	309	S_1	300	250	128	249	129	129	NA
302	179457387	179457106	178592660	178592379	59345	59626	100	A_band	Ig_like	282	S_1	301	251	129	250	130	130	NA
303	179457004	179456705	178592277	178591978	59627	59926	100	A_band	fibronectin_III	300	S_1	302	252	130	251	131	131	NA
304	179456619	179456326	178591892	178591599	59927	60220	100	A_band	fibronectin_III	294	S_1	303	253	131	252	132	132	NA
305	179456231	179453265	178591504	178588538	60221	63187	100	A_band	Ig_like_fibronectin_III	2967	S_1	304	254	132	253	133	133	NA
306	179452946	179452626	178588219	178587899	63188	63508	100	A_band	fibronectin_III	321	S_1	305	255	133	254	134	134	NA
307	179452527	179452243	178587800	178587516	63509	63793	100	A_band	Ig_like	285	S_1	306	256	134	255	135	135	NA
308	179452144	179451845	178587417	178587118	63794	64093	100	A_band	fibronectin_III	300	S_1	307	257	135	256	136	136	NA
309	179451534	179451232	178586807	178586505	64094	64396	100	A_band	fibronectin_III	303	S_1	308	258	136	257	137	137	NA
310	179450074	179449799	178585347	178585072	64397	64672	100	A_band	Ig_like	276	S_1	309	259	137	258	138	138	NA
311	179449695	179449396	178584968	178584669	64673	64972	100	A_band	fibronectin_III	300	S_1	310	260	138	259	139	139	NA
312	179449305	179449003	178584578	178584276	64973	65275	100	A_band	fibronectin_III	303	S_1	311	261	139	260	140	140	NA
313	179448633	179448334	178583906	178583607	65276	65575	100	A_band	fibronectin_III	300	S_1	312	262	140	261	141	141	NA
314	179447954	179447667	178583227	178582940	65576	65863	100	A_band	Ig_like	288	S_1	313	263	141	262	142	142	NA
315	179447319	179447023	178582592	178582296	65864	66160	100	A_band	fibronectin_III	297	S_1	314	264	142	263	143	143	NA
316	179446935	179446633	178582208	178581906	66161	66463	100	A_band	fibronectin_III	303	S_1	315	265	143	264	144	144	NA
317	179446531	179446226	178581804	178581499	66464	66769	100	A_band	fibronectin_III	306	S_1	316	266	144	265	145	145	NA
318	179445336	179445049	178580609	178580322	66770	67057	100	A_band		288	S_1	317	267	145	266	146	146	NA
319	179444956	179444666	178580229	178579939	67058	67348	100	A_band	fibronectin_III	291	S_1	318	268	146	267	147	147	NA
320	179444575	179444288	178579848	178579561	67349	67636	100	A_band	fibronectin_III	288	S_1	319	269	147	268	148	148	NA
321	179444120	179443533	178579393	178578806	67637	68224	100	A_band	Ig_like	588	S_1	320	270	148	269	149	149	NA
322	179443442	179443338	178578715	178578611	68225	68329	100	A_band	fibronectin_III	105	S_1	321	271	149	270	150	150	NA
323	179442912	179442715	178578185	178577988	68330	68527	100	A_band	fibronectin_III	198	S_1	322	272	150	271	151	151	NA
324	179442625	179442329	178577898	178577602	68528	68824	100	A_band	fibronectin_III	297	S_1	323	273	151	272	152	152	NA
325	179442237	179441650	178577510	178576923	68825	69412	100	A_band	Ig_like_fibronectin_III	588	S_1	324	274	152	273	153	153	NA
326	179441558	179441256	178576831	178576529	69413	69715	100	A_band	fibronectin_III	303	S_1	325	275	153	274	154	154	NA
327	179441143	179424038	178576416	178559311	69716	86821	100	A_band	Ig_like_fibronectin_III	17106	S_1	326	276	154	275	155	155	NA
328	179423364	179423068	178558637	178558341	86822	87118	100	A_band	fibronectin_III	297	S_1	327	277	155	276	156	156	NA
329	179422962	179422375	178558235	178557648	87119	87706	100	A_band	fibronectin_III	588	S_1	328	278	156	277	157	157	NA
330	179422282	179421980	178557555	178557253	87707	88009	100	A_band	fibronectin_III	303	S_1	329	279	157	278	158	158	NA
331	179421871	179421575	178557144	178556848	88010	88306	100	A_band	fibronectin_III	297	S_1	330	280	158	279	159	159	NA
332	179419879	179419592	178555152	178554865	88307	88594	100	A_band	Ig_like	288	S_1	331	281	159	280	160	160	NA
333	179419479	179419180	178554752	178554453	88595	88894	100	A_band	fibronectin_III	300	S_1	332	282	160	281	161	161	NA
334	179418943	179418641	178554216	178553914	88895	89197	100	A_band	fibronectin_III	303	S_1	333	283	161	282	162	162	NA
335	179418534	179418229	178553807	178553502	89198	89503	100	A_band	fibronectin_III	306	S_1	334	284	162	283	163	163	NA
336	179418123	179416357	178553396	178551630	89504	91270	100	A_band	Ig_like_fibronectin_III	1767	S_1	335	285	163	284	164	164	NA
337	179415987	179415694	178551260	178550967	91271	91564	100	A_band	fibronectin_III	294	S_1	336	286	164	285	165	165	NA
338	179415000	179414713	178550273	178549986	91565	91852	100	A_band	Ig_like	288	S_1	337	287	165	286	166	166	NA
339	179414596	179414297	178549869	178549570	91853	92152	100	A_band	fibronectin_III	300	S_1	338	288	166	287	167	167	NA
340	179414200	179412134	178549473	178547407	92153	94219	100	A_band	Ig_like_fibronectin_III	2067	S_1	339	289	167	288	168	168	NA
341	179412032	179411730	178547305	178547003	94220	94522	100	A_band	fibronectin_III	303	S_1	340	290	168	289	169	169	NA
342	179411632	179411327	178546905	178546600	94523	94828	100	A_band	fibronectin_III	306	S_1	341	291	169	290	170	170	NA
343	179411229	179410939	178546502	178546212	94829	95119	100	A_band	Ig_like	291	S_1	342	292	170	291	171	171	NA
344	179410843	179410547	178546116	178545820	95120	95416	100	A_band	fibronectin_III	297	S_1	343	293	171	292	172	172	NA
345	179410420	179410115	178545693	178545388	95417	95722	100	A_band	fibronectin_III	306	S_1	344	294	172	293	173	173	NA
346	179409233	179408928	178544506	178544201	95723	96028	100	A_band	fibronectin_III	306	S_1	345	295	173	294	174	174	NA
347	179408842	179408561	178544115	178543834	96029	96310	100	A_band	Ig_like	282	S_1	346	296	174	295	175	175	NA
348	179408389	179407796	178543662	178543069	96311	96904	100	A_band	fibronectin_III	594	S_1	347	297	175	296	176	176	NA
349	179407676	179407389	178542949	178542662	96905	97192	100	A_band	Ig_like	288	S_1	348	298	176	297	177	177	NA
350	179407290	179406991	178542563	178542264	97193	97492	100	A_band	fibronectin_III	300	S_1	349	299	177	298	178	178	NA
351	179406311	179406009	178541584	178541282	97493	97795	100	A_band	fibronectin_III	303	S_1	350	300	178	299	179	179	NA
352	179405097	179404795	178540370	178540068	97796	98098	100	A_band	fibronectin_III	303	S_1	351	301	179	300	180	180	NA
353	179404693	179404109	178539966	178539382	98099	98683	100	A_band	Ig_like_fibronectin_III	585	S_1	352	302	180	301	181	181	NA
354	179403978	179403673	178539251	178538946	98684	98989	100	A_band	fibronectin_III	306	S_1	353	303	181	302	182	182	NA
355	179403566	179403267	178538839	178538540	98990	99289	100	A_band	fibronectin_III	300	S_1	354	304	182	303	183	183	NA
356	179402644	179402069	178537917	178537342	99290	99865	100	A_band	Ig_like	576	S_1	355	305	183	304	184	184	NA
357	179401970	179401665	178537243	178536938	99866	100171	100	A_band	fibronectin_III	306	S_1	356	306	184	305	185	185	NA
358	179401302	179400709	178536575	178535982	100172	100765	100	A_band	Ig_like_fibronectin_III	594	S_1	357	307	185	306	186	186	NA
359	179400576	179394968	178535849	178530241	100766	106374	100	M_band	Ig_like_fibronectin_III_kinase	5609	A_0	358	308	186	307	187	187	NA
360	179394843	179394687	178530116	178529960	106375	106531	100	M_band	Ig_like	157	A_1	359	309	187	308	188	188	NA
361	179393946	179393255	178529219	178528528	106532	107223	100	M_band	Ig_like	692	A_0	360	310	188	309	189	189	NA
362	179393154	179393001	178528427	178528274	107224	107377	100	M_band	Ig_like	154	A_1	361	311	189	310	190	190	NA
363	179392475	179392173	178527748	178527446	107378	107680	99	M_band		303	S_1	362	312	190	311	191	191	NA
364	179392034	179390716	178527307	178525989	107681	107976	100	M_band	Ig_like	296	A__	363	313	191	312	192	192	NA
